#M log_10_prob bin hits hits/sum_hits
#sir_exec simple-sample --graph-type Sw 0.1 -n 3200 --samples 10000000 --transmission 0.1 -j24
0.1028125 -inf 329 0 0e0
0.10312500000000001 -inf 330 0 0e0
0.1034375 -inf 331 0 0e0
0.10375000000000001 -inf 332 0 0e0
0.1040625 -inf 333 0 0e0
0.104375 -inf 334 0 0e0
0.1046875 -inf 335 0 0e0
0.105 -inf 336 0 0e0
0.1053125 -inf 337 0 0e0
0.105625 -inf 338 0 0e0
0.1059375 -inf 339 0 0e0
0.10625 -inf 340 0 0e0
0.1065625 -inf 341 0 0e0
0.106875 -inf 342 0 0e0
0.1071875 -inf 343 0 0e0
0.1075 -inf 344 0 0e0
0.1078125 -inf 345 0 0e0
0.108125 -inf 346 0 0e0
0.1084375 -inf 347 0 0e0
0.10875 -inf 348 0 0e0
0.1090625 -inf 349 0 0e0
0.109375 -inf 350 0 0e0
0.10968750000000001 -inf 351 0 0e0
0.11 -inf 352 0 0e0
0.11031250000000001 -inf 353 0 0e0
0.110625 -inf 354 0 0e0
0.11093750000000001 -inf 355 0 0e0
0.11125 -inf 356 0 0e0
0.11156250000000001 -inf 357 0 0e0
0.111875 -inf 358 0 0e0
0.1121875 -inf 359 0 0e0
0.1125 -inf 360 0 0e0
0.1128125 -inf 361 0 0e0
0.113125 -inf 362 0 0e0
0.1134375 -inf 363 0 0e0
0.11375 -inf 364 0 0e0
0.1140625 -inf 365 0 0e0
0.114375 -inf 366 0 0e0
0.1146875 -inf 367 0 0e0
0.115 -inf 368 0 0e0
0.1153125 -inf 369 0 0e0
0.115625 -inf 370 0 0e0
0.1159375 -inf 371 0 0e0
0.11625 -inf 372 0 0e0
0.1165625 -inf 373 0 0e0
0.116875 -inf 374 0 0e0
0.1171875 -inf 375 0 0e0
0.11750000000000001 -inf 376 0 0e0
0.1178125 -inf 377 0 0e0
0.11812500000000001 -inf 378 0 0e0
0.1184375 -inf 379 0 0e0
0.11875000000000001 -inf 380 0 0e0
0.1190625 -inf 381 0 0e0
0.11937500000000001 -inf 382 0 0e0
0.1196875 -inf 383 0 0e0
0.12 -inf 384 0 0e0
0.1203125 -inf 385 0 0e0
0.120625 -inf 386 0 0e0
0.1209375 -inf 387 0 0e0
0.12125 -inf 388 0 0e0
0.1215625 -inf 389 0 0e0
0.121875 -inf 390 0 0e0
0.1221875 -inf 391 0 0e0
0.1225 -inf 392 0 0e0
0.1228125 -inf 393 0 0e0
0.123125 -inf 394 0 0e0
0.1234375 -inf 395 0 0e0
0.12375 -inf 396 0 0e0
0.1240625 -inf 397 0 0e0
0.124375 -inf 398 0 0e0
0.1246875 -inf 399 0 0e0
0.125 -inf 400 0 0e0
0.1253125 -inf 401 0 0e0
0.12562500000000001 -inf 402 0 0e0
0.1259375 -inf 403 0 0e0
0.12625 -inf 404 0 0e0
0.1265625 -inf 405 0 0e0
0.12687500000000002 -inf 406 0 0e0
0.1271875 -inf 407 0 0e0
0.1275 -inf 408 0 0e0
0.1278125 -inf 409 0 0e0
0.128125 -inf 410 0 0e0
0.1284375 -inf 411 0 0e0
0.12875 -inf 412 0 0e0
0.1290625 -inf 413 0 0e0
0.129375 -inf 414 0 0e0
0.1296875 -inf 415 0 0e0
0.13 -inf 416 0 0e0
0.1303125 -inf 417 0 0e0
0.130625 -inf 418 0 0e0
0.1309375 -inf 419 0 0e0
0.13125 -inf 420 0 0e0
0.1315625 -inf 421 0 0e0
0.131875 -inf 422 0 0e0
0.1321875 -inf 423 0 0e0
0.1325 -inf 424 0 0e0
0.1328125 -inf 425 0 0e0
0.133125 -inf 426 0 0e0
0.13343750000000001 -inf 427 0 0e0
0.13375 -inf 428 0 0e0
0.1340625 -inf 429 0 0e0
0.134375 -inf 430 0 0e0
0.13468750000000002 -inf 431 0 0e0
0.135 -inf 432 0 0e0
0.1353125 -inf 433 0 0e0
0.135625 -inf 434 0 0e0
0.13593750000000002 -inf 435 0 0e0
0.13625 -inf 436 0 0e0
0.1365625 -inf 437 0 0e0
0.136875 -inf 438 0 0e0
0.1371875 -inf 439 0 0e0
0.1375 -inf 440 0 0e0
0.1378125 -inf 441 0 0e0
0.138125 -inf 442 0 0e0
0.1384375 -inf 443 0 0e0
0.13875 -inf 444 0 0e0
0.1390625 -inf 445 0 0e0
0.139375 -inf 446 0 0e0
0.1396875 -inf 447 0 0e0
0.14 -inf 448 0 0e0
0.1403125 -inf 449 0 0e0
0.140625 -inf 450 0 0e0
0.1409375 -inf 451 0 0e0
0.14125000000000001 -inf 452 0 0e0
0.1415625 -inf 453 0 0e0
0.141875 -inf 454 0 0e0
0.1421875 -inf 455 0 0e0
0.14250000000000002 -inf 456 0 0e0
0.1428125 -inf 457 0 0e0
0.143125 -inf 458 0 0e0
0.1434375 -inf 459 0 0e0
0.14375000000000002 -inf 460 0 0e0
0.1440625 -inf 461 0 0e0
0.144375 -inf 462 0 0e0
0.1446875 -inf 463 0 0e0
0.145 -inf 464 0 0e0
0.1453125 -inf 465 0 0e0
0.145625 -inf 466 0 0e0
0.1459375 -inf 467 0 0e0
0.14625 -inf 468 0 0e0
0.1465625 -inf 469 0 0e0
0.146875 -inf 470 0 0e0
0.1471875 -inf 471 0 0e0
0.1475 -inf 472 0 0e0
0.1478125 -inf 473 0 0e0
0.148125 -inf 474 0 0e0
0.1484375 -inf 475 0 0e0
0.14875 -inf 476 0 0e0
0.14906250000000001 -inf 477 0 0e0
0.149375 -inf 478 0 0e0
0.1496875 -inf 479 0 0e0
0.15 -inf 480 0 0e0
0.15031250000000002 -inf 481 0 0e0
0.150625 -inf 482 0 0e0
0.1509375 -inf 483 0 0e0
0.15125 -inf 484 0 0e0
0.15156250000000002 -inf 485 0 0e0
0.151875 -inf 486 0 0e0
0.1521875 -inf 487 0 0e0
0.1525 -inf 488 0 0e0
0.1528125 -inf 489 0 0e0
0.153125 -inf 490 0 0e0
0.1534375 -inf 491 0 0e0
0.15375 -inf 492 0 0e0
0.1540625 -inf 493 0 0e0
0.154375 -inf 494 0 0e0
0.1546875 -inf 495 0 0e0
0.155 -inf 496 0 0e0
0.1553125 -inf 497 0 0e0
0.155625 -inf 498 0 0e0
0.1559375 -inf 499 0 0e0
0.15625 -inf 500 0 0e0
0.1565625 -inf 501 0 0e0
0.15687500000000001 -inf 502 0 0e0
0.1571875 -inf 503 0 0e0
0.1575 -inf 504 0 0e0
0.1578125 -inf 505 0 0e0
0.15812500000000002 -inf 506 0 0e0
0.1584375 -inf 507 0 0e0
0.15875 -inf 508 0 0e0
0.1590625 -inf 509 0 0e0
0.15937500000000002 -inf 510 0 0e0
0.1596875 -inf 511 0 0e0
0.16 -inf 512 0 0e0
0.1603125 -inf 513 0 0e0
0.160625 -inf 514 0 0e0
0.1609375 -inf 515 0 0e0
0.16125 -inf 516 0 0e0
0.1615625 -inf 517 0 0e0
0.161875 -inf 518 0 0e0
0.1621875 -inf 519 0 0e0
0.1625 -inf 520 0 0e0
0.1628125 -inf 521 0 0e0
0.163125 -inf 522 0 0e0
0.1634375 -inf 523 0 0e0
0.16375 -inf 524 0 0e0
0.1640625 -inf 525 0 0e0
0.164375 -inf 526 0 0e0
0.16468750000000001 -inf 527 0 0e0
0.165 -inf 528 0 0e0
0.1653125 -inf 529 0 0e0
0.165625 -inf 530 0 0e0
0.16593750000000002 -inf 531 0 0e0
0.16625 -inf 532 0 0e0
0.1665625 -inf 533 0 0e0
0.166875 -inf 534 0 0e0
0.16718750000000002 -inf 535 0 0e0
0.1675 -inf 536 0 0e0
0.1678125 -inf 537 0 0e0
0.168125 -inf 538 0 0e0
0.1684375 -inf 539 0 0e0
0.16875 -inf 540 0 0e0
0.1690625 -inf 541 0 0e0
0.169375 -inf 542 0 0e0
0.1696875 -inf 543 0 0e0
0.17 -inf 544 0 0e0
0.1703125 -inf 545 0 0e0
0.170625 -inf 546 0 0e0
0.1709375 -inf 547 0 0e0
0.17125 -inf 548 0 0e0
0.1715625 -inf 549 0 0e0
0.171875 -inf 550 0 0e0
0.1721875 -inf 551 0 0e0
0.17250000000000001 -inf 552 0 0e0
0.1728125 -inf 553 0 0e0
